,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
52,52,0.03025057799222579,1.4070149245918506,2.836674300992302,3.3545642199220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396365963686,1.1997309021897729
53,53,0.0302505779726546,1.4070149245918506,2.836674300992302,3.3545642199220715,0.0,0.3090422077606302,5.1613801977088185,2.0002396265963687,1.1997309121897728
54,54,0.03012883085855627,1.4021670025696886,2.8226013281309172,3.3544091542810563,0.0,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
55,55,0.030128830850292363,1.4021670125696886,2.8226013281309172,3.3544091542810563,0.0,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
56,56,0.030128830871161524,1.4021670025696886,2.822601338130917,3.3544091542810563,0.0,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
57,57,0.030128830858778422,1.4021670025696886,2.8226013281309172,3.3544091642810563,0.0,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
58,58,0.03012883090434304,1.4021670025696886,2.8226013281309172,3.3544091542810563,1e-08,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
59,59,0.030128830846337794,1.4021670025696886,2.8226013281309172,3.3544091542810563,0.0,0.31905391875907835,5.142028311068521,2.0117423750079033,1.2291942398152254
60,60,0.030128830865705197,1.4021670025696886,2.8226013281309172,3.3544091542810563,0.0,0.31905390875907835,5.142028321068521,2.0117423750079033,1.2291942398152254
61,61,0.03012883085637793,1.4021670025696886,2.8226013281309172,3.3544091542810563,0.0,0.31905390875907835,5.142028311068521,2.0117423850079033,1.2291942398152254
62,62,0.030128830867187317,1.4021670025696886,2.8226013281309172,3.3544091542810563,0.0,0.31905390875907835,5.142028311068521,2.0117423750079033,1.2291942498152253
63,63,0.0300968375511829,1.4092334928518722,2.81071858924839,3.354535301482301,0.0,0.3311735717347866,5.134262436080955,2.017241748372905,1.2291661817969457
64,64,0.0300968375512682,1.409233502851872,2.81071858924839,3.354535301482301,0.0,0.3311735717347866,5.134262436080955,2.017241748372905,1.2291661817969457
65,65,0.030096837561496267,1.4092334928518722,2.81071859924839,3.354535301482301,0.0,0.3311735717347866,5.134262436080955,2.017241748372905,1.2291661817969457
66,66,0.03009683755090581,1.4092334928518722,2.81071858924839,3.354535311482301,0.0,0.3311735717347866,5.134262436080955,2.017241748372905,1.2291661817969457
