,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23
10,10,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066896099712,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
11,11,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528668182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
12,12,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754696432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
13,13,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604895305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
14,14,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527266195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
15,15,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687462773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
16,16,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829924023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
17,17,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403443571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
18,18,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277907548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
19,19,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711594902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
20,20,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402629962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
21,21,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105625776031,6.216839114246745,3.8572182149589263,3.45493404192374
22,22,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839124246745,3.8572182149589263,3.45493404192374
23,23,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.857218224958926,3.45493404192374
24,24,0.4286294274908525,3.1016174511335515,1.512615264169602,1.309415986119439,3.267102724544554,2.294094975023267,3.3214844894384496,2.7546762125175976,2.2166001339384067,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493405192374
25,25,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
26,26,0.2577747877741662,3.1110128511550896,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
27,27,0.25777478765135153,3.1110128411550897,1.5233789030466882,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
28,28,0.25777478692297406,3.1110128411550897,1.5233788930466883,1.3656480262628161,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
29,29,0.2577747879057199,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130617713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
30,30,0.2577747896158841,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693379085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
31,31,0.25777478683092603,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958668029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
32,32,0.2577747894575751,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255578404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
33,33,0.25777478982316904,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489432520886,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
34,34,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349499253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
35,35,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066896099712,3.675528658182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
36,36,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528668182376,4.575754686432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
37,37,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754696432185,3.975604885305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
38,38,0.25777478787290636,3.1110128411550897,1.5233788930466883,1.3656480162628162,3.266130607713077,2.0140693279085546,3.4128958568029075,2.60255577404958,1.9283489332520887,0.6024349399253063,0.6162066796099711,3.675528658182376,4.575754686432185,3.975604895305744,5.121527256195907,2.1905687362773087,4.313829914023139,5.749403433571224,0.3566277807548013,2.675711584902165,2.169402619962942,1.7025105525776032,6.216839114246745,3.8572182149589263,3.45493404192374
