,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23
10,10,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439502679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
11,11,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.599088605923783,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
12,12,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558910652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
13,13,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325992702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
14,14,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571991008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
15,15,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571164607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
16,16,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.718720325523594,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
17,17,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018731981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
18,18,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427859602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
19,19,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119253801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
20,20,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637688895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
21,21,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320539561808,4.701316884795077,4.50453746004046,4.510654903244346
22,22,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.7013168947950765,4.50453746004046,4.510654903244346
23,23,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453747004046,4.510654903244346
24,24,0.11979684903854111,3.6658504235123655,3.8422400884192376,3.9399199224382566,5.470175656882981,2.3407042699768366,0.4654734965799241,6.10575530602134,0.21394485343205966,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654913244346
25,25,0.10748337959524606,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
26,26,0.1074833796590882,3.671344143166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
27,27,0.10748337895592044,3.671344133166224,3.82436555629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
28,28,0.10748337592935,3.671344133166224,3.82436554629503,3.6363255272672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
29,29,0.1074833798405656,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009751577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
30,30,0.10748338004646957,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.2954694252260057,0.294242426978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
31,31,0.10748337891990087,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242436978772,6.096216269793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
32,32,0.1074833796649001,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216279793761,0.2690836594530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
33,33,0.10748337991596502,3.671344133166224,3.82436554629503,3.6363255172672306,5.410009741577538,2.295469415226006,0.294242426978772,6.096216269793761,0.2690836694530975,1.7548616177210272,4.618439492679119,3.5990885959237833,5.407558900652625,3.67325991702873,5.674571981008119,1.1995571064607817,1.7187203155235942,4.800018721981705,4.522427849602581,2.843119243801398,2.443637678895954,4.838320529561808,4.701316884795077,4.50453746004046,4.510654903244346
