,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39
10,10,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060624305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
11,11,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750758424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
12,12,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298998947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
13,13,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201386470874,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
14,14,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865002041149733,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
15,15,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165353180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
16,16,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179216329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
17,17,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839220180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
18,18,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853873361085,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
19,19,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432180187923,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
20,20,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829386637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
21,21,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543010604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
22,22,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775536623203,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
23,23,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.145757135661494,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
24,24,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827416782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
25,25,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825619781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
26,26,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346464804824,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
27,27,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414194062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
28,28,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657183423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
29,29,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962500735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
30,30,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089544478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
31,31,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955485443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
32,32,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388607765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
33,33,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391938450950156,3.768843759617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
34,34,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843769617428,0.5462820501658123,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
35,35,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820601658124,5.709881359157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
36,36,0.5125777598775955,1.4759568652223265,6.076382558593509,4.749793121352232,5.59129939082309,1.5909290000475966,1.597694550376091,6.138764670155971,0.9524782926274988,0.4664593430526541,5.792060614305831,4.766750748424298,3.049298988947852,3.2467201286470875,1.2865001941149734,6.075165343180871,5.932179206329682,3.927839210180766,0.6689853773361084,1.2704432080187924,2.5007829286637224,2.098543000604313,3.1933775436623204,2.1457571256614942,0.94827415782839,4.009825609781226,2.4510346364804825,0.3530414094062494,4.740657173423625,3.4825962400735366,0.04089543478630838,2.64955484443698,1.7837388507765357,0.14391937450950157,3.768843759617428,0.5462820501658123,5.709881369157816,1.2453587436344806,2.9988835025364913,2.4212987368358942,0.28860548164713157
