,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15
70,70,0.052360201352977226,5.908749507798314,0.3762002832790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
71,71,0.052360201421492114,5.908749507798314,0.3762002732790774,2.451985378220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
72,72,0.05236020140241139,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431825551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
73,73,0.05236020136242965,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310954021989,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
74,74,0.05236020158562057,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309138564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
75,75,0.05236020150630268,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990448760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
76,76,0.05236020131487071,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541662736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
77,77,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579604163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
78,78,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953917087626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
79,79,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111205565858,1.4373943399719245,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
80,80,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943499719244,5.222007570400129,1.3445928478996947,1.2408981202619809,3.721534622677263
81,81,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007580400129,1.3445928478996947,1.2408981202619809,3.721534622677263
82,82,0.052360201434711,5.908749507798314,0.3762002732790774,2.451985368220611,5.232431815551689,0.7214310854021988,5.292309128564068,5.334990438760408,4.90541661736148,5.032579594163631,2.6953916987626014,4.647111195565858,1.4373943399719245,5.222007570400129,1.3445928578996946,1.2408981202619809,3.721534622677263
