,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
47,47,0.03275163054480231,3.29950159328984,2.044543262472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.985022109839347
48,48,0.03275163061421522,3.29950159328984,2.044543252472725,3.352285983247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.985022109839347
49,49,0.03275163073373927,3.29950159328984,2.044543252472725,3.352285973247935,4.470859254805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.985022109839347
50,50,0.032751630588111036,3.29950159328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517091931341,5.201096193471164,1.9040984032126103,2.985022109839347
51,51,0.03275163054833387,3.29950159328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096203471164,1.9040984032126103,2.985022109839347
52,52,0.032751630536051624,3.29950159328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984132126102,2.985022109839347
53,53,0.03275163069229816,3.29950159328984,2.044543252472725,3.352285973247935,4.470859244805675,4.53517090931341,5.201096193471164,1.9040984032126103,2.9850221198393467
54,54,0.030617092304866988,3.260426529485369,2.2372055249912313,3.4503664151574496,4.424175834662611,4.4847226592673,5.689551420165486,1.9354662968996754,2.86265116299983
55,55,0.03061709230973167,3.260426539485369,2.2372055249912313,3.4503664151574496,4.424175834662611,4.4847226592673,5.689551420165486,1.9354662968996754,2.86265116299983
56,56,0.03061709243098666,3.260426529485369,2.237205534991231,3.4503664151574496,4.424175834662611,4.4847226592673,5.689551420165486,1.9354662968996754,2.86265116299983
57,57,0.030617092259725955,3.260426529485369,2.2372055249912313,3.4503664251574495,4.424175834662611,4.4847226592673,5.689551420165486,1.9354662968996754,2.86265116299983
58,58,0.030617092401451253,3.260426529485369,2.2372055249912313,3.4503664151574496,4.424175844662611,4.4847226592673,5.689551420165486,1.9354662968996754,2.86265116299983
